first_name;last_name;number;street;birthdate;postalcode;city;phone
GAIL;KNIGHT;185;"Novi Sad Place";01.04.1980;41778;Bern;904253967161
KELLY;KNOTT;390;"Wroclaw Way";01.04.1980;5753;Sanya;357593328658
CHARLES;KOWALSKI;715;"So Bernardo do Campo Lane";01.04.1980;84804;"Sungai Petani";181179321332
LESTER;KRAUS;1013;"Tabuk Boulevard";01.04.1980;96203;Kanchrapara;158399646978
HERBERT;KRUGER;1823;"Hoshiarpur Lane";01.04.1980;33191;Syktyvkar;307133768620
MISTY;LAMBERT;1192;"Tongliao Street";01.04.1980;19065;Sharja;350970907017
JACOB;LANCE;1866;"al-Qatif Avenue";01.04.1980;89420;"El Monte";546793516940
RENEE;LANE;533;"al-Ayn Boulevard";01.04.1980;8862;Compton;662227486184
HEIDI;LARSON;1103;"Bilbays Parkway";01.04.1980;87660;Xiangfan;279979529227
DARYL;LARUE;1208;"Tama Loop";01.04.1980;73605;Mosul;954786054144
LAURIE;LAWRENCE;9;"San Miguel de Tucumn Manor";01.04.1980;90845;Firozabad;956188728558
JEANNE;LAWSON;387;"Mwene-Ditu Drive";01.04.1980;8073;Ashgabat;764477681869
LAWRENCE;LAWTON;114;"Jalib al-Shuyukh Manor";01.04.1980;60440;Yaound;845378657301
KIMBERLY;LEE;96;"Tafuna Way";01.04.1980;99865;Crdoba;934730187245
LOUIS;LEONE;1191;"Tandil Drive";01.04.1980;6362;Tanauan;45554316010
SARAH;LEWIS;1780;"Hino Boulevard";01.04.1980;7716;Liepaja;902731229323
GEORGE;LINTON;1957;"Yantai Lane";01.04.1980;59255;Sorocaba;704948322302
MAUREEN;LITTLE;201;"Effon-Alaiye Way";01.04.1980;64344;Asuncin;684192903087
DWIGHT;LOMBARDI;1497;"Fengshan Drive";01.04.1980;63022;Chatsworth;368738360376
JACQUELINE;LONG;870;"Ashqelon Loop";01.04.1980;84931;Songkhla;135117278909
AMY;LOPEZ;176;"Mandaluyong Place";01.04.1980;65213;Jhansi;627705991774
BARRY;LOVELACE;1836;"Korla Parkway";01.04.1980;55405;Kitwe;689681677428
PRISCILLA;LOWE;144;"South Hill Loop";01.04.1980;2012;Salamanca;45387294817
VELMA;LUCAS;1155;"Liaocheng Place";01.04.1980;22650;Effon-Alaiye;558236142492
WILLARD;LUMPKIN;1819;"Alessandria Loop";01.04.1980;53829;Carmen;377633994405
LEWIS;LYMAN;632;"Usolje-Sibirskoje Parkway";01.04.1980;73085;Ashqelon;667648979883
JACKIE;LYNCH;98;"Stara Zagora Boulevard";01.04.1980;76448;Buenaventura;610173756082
STEVE;MACKENZIE;154;"Oshawa Manor";01.04.1980;72771;Probolinggo;440365973660
RALPH;MADRIGAL;1009;"Zanzibar Lane";01.04.1980;64875;Arecibo;102396298916
MATTHEW;MAHAN;479;"San Felipe del Progreso Avenue";01.04.1980;54949;Cuautla;869051782691
DONALD;MAHON;1774;"Yaound Place";01.04.1980;91400;Ezhou;613124286867
CLIFTON;MALCOLM;1489;"Kakamigahara Lane";01.04.1980;98883;Tanshui;29341849811
JOSHUA;MARK;1920;"Weifang Avenue";01.04.1980;15643;Rampur;869507847714
WILLIE;MARKHAM;1623;"Kingstown Drive";01.04.1980;91299;"Almirante Brown";296394569728
SAMUEL;MARLOW;604;"Bern Place";01.04.1980;5373;Ranchi;620719383725
SHERRY;MARSHALL;1987;"Coacalco de Berriozbal Loop";01.04.1980;96065;"Shubra al-Khayma";787654415858
CALVIN;MARTEL;138;"Caracas Boulevard";01.04.1980;16790;Maracabo;974433019532
SANDRA;MARTIN;360;"Toulouse Parkway";01.04.1980;54308;Southend-on-Sea;949312333307
RUTH;MARTINEZ;1417;"Lancaster Avenue";01.04.1980;72192;Kimberley;272572357893
HAROLD;MARTINO;1293;"Nam Dinh Way";01.04.1980;71583;"Boa Vista";697656479977
JUANITA;MASON;943;"Johannesburg Avenue";01.04.1980;5892;Pune;90921003005
ERICA;MATTHEWS;1294;"Firozabad Drive";01.04.1980;70618;Pingxiang;161801569569
RICK;MATTOX;775;"ostka Drive";01.04.1980;22358;"Mit Ghamr";171973024401
GREGORY;MAULDIN;507;"Smolensk Loop";01.04.1980;22971;Sousse;80303246192
GWENDOLYN;MAY;446;"Kirovo-Tepetsk Lane";01.04.1980;19428;Higashiosaka;303967439816
ALFREDO;MCADAMS;1407;"Surakarta Manor";01.04.1980;33224;Serpuhov;324346485054
RENE;MCALISTER;1895;"Zhezqazghan Drive";01.04.1980;36693;"Garden Grove";137809746111
MORRIS;MCCARTER;1568;"Celaya Parkway";01.04.1980;34750;Fengshan;278669994384
JESUS;MCCARTNEY;259;"Ipoh Drive";01.04.1980;64964;Guaruj;419009857119
VERA;MCCOY;1168;"Najafabad Parkway";01.04.1980;40301;Kabul;886649065861
RICHARD;MCCRARY;913;"Coacalco de Berriozbal Loop";01.04.1980;42141;Arlington;262088367001
BRAD;MCCURDY;608;"Birgunj Parkway";01.04.1980;400;Chungho;627425618482
EDITH;MCDONALD;1967;"Sincelejo Place";01.04.1980;73644;Gandhinagar;577812616052
SAM;MCDUFFIE;656;"Matamoros Drive";01.04.1980;19489;Sogamoso;17305839123
MIRIAM;MCKINNEY;1336;"Benin City Drive";01.04.1980;46044;Otsu;341242939532
RAYMOND;MCWHORTER;503;"Sogamoso Loop";01.04.1980;49812;Sumqayit;834626715837
RICARDO;MEADOR;591;"Sungai Petani Drive";01.04.1980;46400;Okayama;37247325001
DORA;MEDINA;1760;"Oshawa Manor";01.04.1980;38140;Tianjin;56257502250
CORY;MEEHAN;556;"Asuncin Way";01.04.1980;35364;Mogiljov;338244023543
ANTONIO;MEEK;1190;"0 Place";01.04.1980;10417;Bag;841876514789
CASEY;MENA;539;"Hami Way";01.04.1980;52196;Tokat;525518075499
PETER;MENARD;1217;"Konotop Avenue";01.04.1980;504;Ede;718917251754
MARIAN;MENDOZA;829;"Grand Prairie Way";01.04.1980;6461;Maring;741070712873
NATALIE;MEYER;1201;"Qomsheh Manor";01.04.1980;21464;"Aparecida de Goinia";873492228462
JESSIE;MILAM;1332;"Gaziantep Lane";01.04.1980;22813;Binzhou;383353187467
BECKY;MILES;1993;"Tabuk Lane";01.04.1980;64221;Tambaram;648482415405
SHANE;MILLARD;184;"Mandaluyong Street";01.04.1980;94239;"La Paz";488425406814
ALICIA;MILLS;1963;"Moscow Place";01.04.1980;64863;Nagaon;761379480249
MARIA;MILLz;900;"Santiago de Compostela Parkway";01.04.1980;93896;Kragujevac;716571220373
TOM;MILNER;535;"Ahmadnagar Manor";01.04.1980;41136;"Abu Dhabi";985109775584
STEPHANIE;MITCHELL;42;"Brindisi Place";01.04.1980;16744;Yerevan;42384721397
RODNEY;MOELLER;1936;"Lapu-Lapu Parkway";01.04.1980;7122;"Deba Habe";653436985797
STACEY;MONTGOMERY;1333;"Haldia Street";01.04.1980;82161;Fuyu;408304391718
MARGARET;MOORE;613;"Korolev Drive";01.04.1980;45844;Masqat;380657522649
ANITA;MORALES;788;"Atinsk Street";01.04.1980;81691;Hubli-Dharwad;146497509724
STELLA;MORENO;1473;"Changhwa Parkway";01.04.1980;75933;"Coacalco de Berriozbal";266798132374
EVELYN;MORGAN;943;"Tokat Street";01.04.1980;45428;Vaduz;889318963672
CRAIG;MORRELL;717;"Changzhou Lane";01.04.1980;21615;Cavite;426255288071
HEATHER;MORRIS;17;"Kabul Boulevard";01.04.1980;38594;Nagareyama;697760867968
BESSIE;MORRISON;1926;"Gingoog Street";01.04.1980;22824;Syrakusa;469738825391
JASON;MORRISSEY;1427;"A Corua (La Corua) Place";01.04.1980;85799;"Baha Blanca";972574862516
BRADLEY;MOTLEY;1596;"Acua Parkway";01.04.1980;70425;"Purnea (Purnia)";157133457169
CHERYL;MURPHY;1213;"Ranchi Parkway";01.04.1980;94352;Mysore;800024380485
THELMA;MURRAY;1175;"Tanauan Way";01.04.1980;64615;Lima;937222955822
MANUEL;MURRELL;692;"Amroha Drive";01.04.1980;35575;Jaffna;359478883004
PEGGY;MYERS;733;"Mandaluyong Place";01.04.1980;77459;Abha;196568435814
PENNY;NEAL;1675;"Xiangfan Manor";01.04.1980;11763;Kumbakonam;271149517630
DEBRA;NELSON;306;"Antofagasta Place";01.04.1980;3989;"Vila Velha";378318851631
JAIME;NETTLES;1746;"Faaa Way";01.04.1980;32515;Hunuco;863080561151
RANDALL;NEUMANN;1245;"Ibirit Way";01.04.1980;40926;"La Romana";331888642162
PATRICK;NEWSOM;68;"Ponce Parkway";01.04.1980;85926;Hanoi;870635127812
JUSTIN;NGO;519;"Nyeri Manor";01.04.1980;37650;"Santo Andr";764680915323
TAMARA;NGUYEN;356;"Olomouc Manor";01.04.1980;93323;Anpolis;22326410776
SUZANNE;NICHOLS;456;"Escobar Way";01.04.1980;36061;Jakarta;719202533520
ELMER;NOE;1768;"Udine Loop";01.04.1980;32347;Battambang;448876499197
JULIO;NOLAND;182;"Nukualofa Drive";01.04.1980;15414;Konotop;426346224043
CODY;NOLEN;1715;"Okayama Street";01.04.1980;55676;"So Bernardo do Campo";169352919175
LEONA;OBRIEN;1308;"Sumy Loop";01.04.1980;30657;Fuzhou;583021225407
MARION;OCAMPO;1464;"Kursk Parkway";01.04.1980;17381;Weifang;338758048786
ISAAC;OGLESBY;186;"Skikda Lane";01.04.1980;89422;Cuernavaca;14465669789
JORGE;OLIVARES;1078;"Stara Zagora Drive";01.04.1980;69221;Lhokseumawe;932992626595
ELLA;OLIVER;751;"Lima Loop";01.04.1980;99405;Aden;756460337785
ANNETTE;OLSON;431;"Xiangtan Avenue";01.04.1980;4854;"Allappuzha (Alleppey)";230250973122
DWAYNE;OLVERA;1447;"Imus Place";01.04.1980;12905;Rajkot;62127829280
SYLVIA;ORTIZ;241;"Mosul Lane";01.04.1980;76157;"Dos Quebradas";765345144779
MARC;OUTLAW;1;"Valle de Santiago Avenue";01.04.1980;86208;Brindisi;465897838272
CARMEN;OWENS;1378;"Alvorada Avenue";01.04.1980;75834;Caracas;272234298332
DAN;PAINE;808;"Naala-Porto Parkway";01.04.1980;41060;Stockport;553452430707
MEGAN;PALMER;1560;"Jelets Boulevard";01.04.1980;77777;Laiwu;189446090264
FRANCES;PARKER;686;"Garland Manor";01.04.1980;52535;"Juazeiro do Norte";69493378813
WANDA;PATTERSON;1740;"Portoviejo Avenue";01.04.1980;29932;Sincelejo;198123170793
LYNN;PAYNE;710;"San Felipe del Progreso Avenue";01.04.1980;76901;Lilongwe;843801144113
IRMA;PEARSON;127;"Iwakuni Boulevard";01.04.1980;20777;Hagonoy;987442542471
LANCE;PEMBERTON;454;"Qinhuangdao Drive";01.04.1980;25866;Beni-Mellal;786270036240
ERIKA;PENA;898;"Jining Lane";01.04.1980;40070;Oulu;161643343536
CAROLYN;PEREZ;1632;"Bislig Avenue";01.04.1980;61117;"Pak Kret";471675840679
GERALDINE;PERKINS;97;"Shimoga Avenue";01.04.1980;44660;"Tel Aviv-Jaffa";177167004331
SARA;PERRY;125;"Citt del Vaticano Boulevard";01.04.1980;67912;Atlixco;48417642933
WALTER;PERRYMAN;1909;"Benguela Lane";01.04.1980;19913;Xinxiang;624138001031
SUE;PETERS;817;"Bradford Loop";01.04.1980;89459;Changzhou;264286442804
NICOLE;PETERSON;57;"Arlington Manor";01.04.1980;48960;Shivapuri;990214419142
BOB;PFEIFFER;415;"Pune Avenue";01.04.1980;44274;Xintai;203202500108
JANET;PHILLIPS;1718;"Valencia Street";01.04.1980;37359;Antofagasta;675292816413
SALLY;PIERCE;1540;"Wroclaw Drive";01.04.1980;62686;Chandrapur;182363341674
JEFFERY;PINSON;966;"Arecibo Loop";01.04.1980;94018;Dadu;15273765306
MAX;PITT;1917;"Kumbakonam Parkway";01.04.1980;11892;"Novi Sad";698182547686
HECTOR;POINDEXTER;185;"Mannheim Lane";01.04.1980;23661;Pjatigorsk;589377568313
CARRIE;PORTER;1854;"Tieli Street";01.04.1980;15819;Liaocheng;509492324775
BILLY;POULIN;1061;"Ede Avenue";01.04.1980;57810;Cabuyao;333390595558
ANNE;POWELL;1557;"Ktahya Boulevard";01.04.1980;88002;Bradford;720998247660
DARRELL;POWER;1844;"Usak Avenue";01.04.1980;84461;Halifax;164414772677
KEN;PREWITT;1342;"Abha Boulevard";01.04.1980;10714;Bucuresti;997453607116
IRENE;PRICE;602;"Paarl Street";01.04.1980;98889;Pavlodar;896314772871
GLENN;PULLEN;992;"Klerksdorp Loop";01.04.1980;33711;Amersfoort;855290087237
ANDREW;PURDY;431;"Szkesfehrvr Avenue";01.04.1980;57828;Baku;119501405123
MARY;Palmieri;1913;"Hanoi Way";01.04.1980;35200;Sasebo;28303384290
STEPHEN;QUALLS;1838;"Tabriz Lane";01.04.1980;1195;Dhaka;38988715447
TROY;QUIGLEY;983;"Santa F Way";01.04.1980;47472;Vancouver;145720452260
ROGER;QUINTANILLA;381;"Kabul Way";01.04.1980;87272;Hsichuh;55477302294
VINCENT;RALSTON;397;"Sunnyvale Avenue";01.04.1980;55566;Allende;680851640676
CHRISTINA;RAMIREZ;1124;"Buenaventura Drive";01.04.1980;6856;al-Hawiya;407733804223
EVA;RAMOS;1666;"Beni-Mellal Place";01.04.1980;13377;Clarksville;9099941466
ANDRE;RAPP;568;"Dhule (Dhulia) Loop";01.04.1980;92568;Coquimbo;602101369463
DALE;RATCLIFF;1639;"Saarbrcken Drive";01.04.1980;9827;Rustenburg;328494873422
AUDREY;RAY;1010;"Klerksdorp Way";01.04.1980;6802;Graz;493008546874
JIM;REA;814;"Simferopol Loop";01.04.1980;48745;"El Fuerte";524567129902
DORIS;REED;1697;"Kowloon and New Kowloon Loop";01.04.1980;57807;Balaiha;499352017190
CONSTANCE;REID;885;"Yingkou Manor";01.04.1980;31390;Zaria;588964509072
NEIL;RENNER;1817;"Livorno Way";01.04.1980;79401;"Cam Ranh";478380208348
DEBBIE;REYES;928;"Jaffna Loop";01.04.1980;93762;Fukuyama;581852137991
ROSA;REYNOLDS;793;"Cam Ranh Avenue";01.04.1980;87057;Lancaster;824370924746
EDGAR;RHOADS;1269;"Ipoh Avenue";01.04.1980;54674;Eskisehir;402630109080
SHERRI;RHODES;922;"Vila Velha Loop";01.04.1980;4085;Ahmadnagar;510737228015
JAMIE;RICE;879;"Newcastle Way";01.04.1980;90732;"Sterling Heights";206841104594
WILMA;RICHARDS;660;"Jedda Boulevard";01.04.1980;25053;Bellevue;168758068397
ASHLEY;RICHARDSON;1214;"Hanoi Way";01.04.1980;67055;Lincoln;491001136577
RONNIE;RICKETTS;1889;"Valparai Way";01.04.1980;75559;Ziguinchor;670370974122
KEITH;RICO;482;"Kowloon and New Kowloon Manor";01.04.1980;97056;Bratislava;738968474939
BRITTANY;RILEY;140;"Chiayi Parkway";01.04.1980;38982;Sumy;855863906434
MARK;RINEHART;780;"Kimberley Way";01.04.1980;17032;Tabuk;824396883951
KATHERINE;RIVERA;915;"Ponce Place";01.04.1980;83980;Basel;1395251317
JAY;ROBB;1947;"Paarl Way";01.04.1980;23636;Surakarta;834061016202
ERIC;ROBERT;430;"Kumbakonam Drive";01.04.1980;28814;"Santa F";105470691550
CHRISTINE;ROBERTS;1447;"Imus Way";01.04.1980;48942;Faaa;539758313890
JOANNE;ROBERTSON;1337;"Lincoln Parkway";01.04.1980;99457;Urawa;597815221267
GREG;ROBINS;1786;"Salinas Place";01.04.1980;66546;"Nam Dinh";206060652238
SHARON;ROBINSON;1688;"Okara Way";01.04.1980;21954;Mardan;144453869132
LAURA;RODRIGUEZ;28;"Charlotte Amalie Street";01.04.1980;37551;Sal;161968374323
VIOLET;RODRIQUEZ;1912;"Allende Manor";01.04.1980;58124;"Kowloon and New Kowloon";172262454487
TERESA;ROGERS;1964;"Allappuzha (Alleppey) Street";01.04.1980;48980;Iwakuni;920811325222
MINNIE;ROMERO;47;"Syktyvkar Lane";01.04.1980;22236;Ciomas;63937119031
DARLENE;ROSE;1386;"Nakhon Sawan Boulevard";01.04.1980;53502;Pyongyang;368899174225
MARILYN;ROSS;1888;"Kabul Drive";01.04.1980;20936;Ife;701457319790
TERRANCE;ROUSH;42;"Fontana Avenue";01.04.1980;14684;Szkesfehrvr;437829801725
DAVID;ROYAL;827;"Yuncheng Drive";01.04.1980;79047;Callao;504434452842
VIVIAN;RUIZ;741;"Ambattur Manor";01.04.1980;43310;s-Hertogenbosch;302590383819
NATHAN;RUNYON;264;"Bhimavaram Manor";01.04.1980;54749;"Charlotte Amalie";302526949177
ANNIE;RUSSELL;1599;"Plock Drive";01.04.1980;71986;Tete;817248913162
TARA;RYAN;1688;"Nador Lane";01.04.1980;61613;Gorontalo;652218196731
RYAN;SALISBURY;1673;"Tangail Drive";01.04.1980;26857;Daugavpils;627924259271
GENE;SANBORN;1416;"San Juan Bautista Tuxtepec Avenue";01.04.1980;50592;Salala;144206758053
JULIE;SANCHEZ;939;"Probolinggo Loop";01.04.1980;4166;"A Corua (La Corua)";680428310138
TAMMY;SANDERS;1551;"Rampur Lane";01.04.1980;72394;Changhwa;251164340471
WILLIAM;SATTERFIELD;687;"Alessandria Parkway";01.04.1980;57587;Sanaa;407218522294
DEAN;SAUER;270;"Tambaram Parkway";01.04.1980;9668;Johannesburg;248446668735
JONATHAN;SCARBOROUGH;1698;"Southport Loop";01.04.1980;49009;"Pachuca de Soto";754358349853
JESSE;SCHILLING;514;"Ife Way";01.04.1980;69973;Lubumbashi;900235712074
ROSEMARY;SCHMIDT;1215;"Pyongyang Parkway";01.04.1980;25238;Usak;646237101779
LEONARD;SCHOFIELD;88;"Nagaon Manor";01.04.1980;86868;Tandil;779461480495
JIMMY;SCHRADER;616;"Hagonoy Avenue";01.04.1980;46043;Atinsk;604177838256
KEVIN;SCHULER;470;"Boksburg Street";01.04.1980;97960;Birgunj;908029859266
ANTHONY;SCHWAB;1892;"Nabereznyje Telny Lane";01.04.1980;28396;Tafuna;478229987054
BRUCE;SCHWARZ;1565;"Tangail Manor";01.04.1980;45750;Okinawa;634445428822
REBECCA;SCOTT;61;"Tama Street";01.04.1980;94065;Kurashiki;708403338270
STANLEY;SCROGGINS;1266;"Laredo Parkway";01.04.1980;7664;Omiya;1483365694
KARL;SEAL;1427;"Tabuk Place";01.04.1980;31342;"Cape Coral";214756839122
AARON;SELBY;1519;"Santiago de los Caballeros Loop";01.04.1980;22025;Mwene-Ditu;409315295763
LESLIE;SEWARD;1152;"al-Qatif Lane";01.04.1980;44816;Pontianak;131370665218
EARL;SHANKS;168;"Cianjur Manor";01.04.1980;73824;Iwatsuki;679095087143
CLARA;SHAW;1027;"Songkhla Manor";01.04.1980;30861;Molodetno;563660187896
RICKY;SHELBY;722;"Bradford Lane";01.04.1980;90920;Junan;746251338300
SCOTT;SHELLEY;587;"Benguela Manor";01.04.1980;91590;Aurora;165450987037
DIANNE;SHELTON;600;"Bradford Street";01.04.1980;96204;Tabriz;117592274996
WARREN;SHERROD;1621;"Tongliao Avenue";01.04.1980;22173;Usolje-Sibirskoje;209342540247
FRANCIS;SIKES;355;"Vitria de Santo Anto Way";01.04.1980;81758;"San Juan Bautista Tuxtepec";548003849552
MAXINE;SILVA;1338;"Zalantun Lane";01.04.1980;45403;"Poos de Caldas";840522972766
MICHAEL;SILVERMAN;1908;"Gaziantep Place";01.04.1980;58979;Tiefa;108053751300
TINA;SIMMONS;984;"Effon-Alaiye Avenue";01.04.1980;17119;Goinia;132986892228
ARTHUR;SIMPKINS;1157;"Nyeri Loop";01.04.1980;56380;Maikop;262744791493
ELLEN;SIMPSON;1666;"Qomsheh Drive";01.04.1980;66255;Po;582835362905
VANESSA;SIMS;1792;"Valle de la Pascua Place";01.04.1980;15540;Siegen;419419591240
FRANCISCO;SKIDMORE;614;"Denizli Parkway";01.04.1980;29444;"So Leopoldo";876491807547
GILBERT;SLEDGE;1515;"Korla Way";01.04.1980;57197;York;959467760895
WALLACE;SLONE;1342;"Sharja Way";01.04.1980;93655;Sokoto;946114054231
MARY;SMITH;1913;"Hanoi Way";01.04.1980;35200;Sasebo;28303384290
MARION;SNYDER;1891;"Rizhao Boulevard";01.04.1980;47288;"Santa Brbara dOeste";391065549876
NINA;SOTO;1519;"Ilorin Place";01.04.1980;49298;"Palghat (Palakkad)";357445645426
ROLAND;SOUTH;1993;"0 Loop";01.04.1980;41214;Yingkou;25865528181
JEFFREY;SPEAR;1860;"Taguig Loop";01.04.1980;59550;Ciparay;38158430589
CATHY;SPENCER;1287;"Xiangfan Boulevard";01.04.1980;57844;Kakamigahara;819416131190
KYLE;SPURLOCK;1269;"Botosani Manor";01.04.1980;47394;Shanwei;736517327853
SERGIO;STANFIELD;1402;"Zanzibar Boulevard";01.04.1980;71102;Celaya;387448063440
ALLISON;STANLEY;754;"Valencia Place";01.04.1980;87911;"Phnom Penh";594319417514
KIRK;STCLAIR;1923;"Stara Zagora Lane";01.04.1980;95179;Tsaotun;182178609211
LORRAINE;STEPHENS;154;"Tallahassee Loop";01.04.1980;62250;Hami;935508855935
ERNEST;STEPP;500;"Lincoln Parkway";01.04.1980;95509;Huaian;550306965159
ELAINE;STEVENS;801;"Hagonoy Drive";01.04.1980;8439;Smolensk;237426099212
ALICE;STEWART;1135;"Izumisano Parkway";01.04.1980;48150;Fontana;171822533480
IAN;STILL;1894;"Boa Vista Way";01.04.1980;77464;Garland;239357986667
VERONICA;STONE;369;"Papeete Way";01.04.1980;66639;Greensboro;170117068815
DAWN;SULLIVAN;454;"Nakhon Sawan Boulevard";01.04.1980;76383;Funafuti;963887147572
FELICIA;SUTTON;226;"Halifax Street";01.04.1980;58492;Korla;790651020929
PERRY;SWAFFORD;773;"Dallas Manor";01.04.1980;12664;Quilmes;914466027044
GLEN;TALBERT;1789;"Saint-Denis Parkway";01.04.1980;8268;Acua;936806643983
TODD;TAN;1793;"Meixian Place";01.04.1980;33535;Kamjanets-Podilskyi;619966287415
DOROTHY;TAYLOR;1531;"Sal Drive";01.04.1980;53628;Esfahan;648856936185
SALVADOR;TEEL;247;"Jining Parkway";01.04.1980;53446;Banjul;170115379190
JENNIE;TERRY;682;"Halisahar Place";01.04.1980;20536;Olomouc;475553436330
NANCY;THOMAS;808;"Bhopal Manor";01.04.1980;10672;"Yamuna Nagar";465887807014
DONNA;THOMPSON;270;"Toulon Boulevard";01.04.1980;81766;Elista;407752414682
MARSHALL;THORN;1584;"Ljubertsy Lane";01.04.1980;22954;Southampton;285710089439
LARRY;THRASHER;663;"Baha Blanca Parkway";01.04.1980;33463;Adana;834418779292
LONNIE;TIRADO;1658;"Cuman Loop";01.04.1980;51309;"Pangkal Pinang";784907335610
CLYDE;TOBIAS;1909;"Dayton Avenue";01.04.1980;88513;Shaoguan;702955450528
EDDIE;TOMLIN;1351;"Aparecida de Goinia Parkway";01.04.1980;41775;Ozamis;959834530529
KELLY;TORRES;1586;"Guaruj Place";01.04.1980;5135;Xiangtan;947233365992
PAUL;TROUT;746;"Joliet Lane";01.04.1980;94878;Kursk;688485191923
FRANKLIN;TROUTMAN;1778;"Gijn Manor";01.04.1980;35156;Zaoyang;288910576761
WAYNE;TRUONG;1049;"Matamoros Parkway";01.04.1980;69640;Gulbarga;960505250340
DUANE;TUBBS;962;"Tama Loop";01.04.1980;65952;Yangor;282667506728
MARJORIE;TUCKER;1050;"Garden Grove Avenue";01.04.1980;4999;Jastrzebie-Zdrj;973047364353
MARIE;TURNER;1998;"Halifax Drive";01.04.1980;76022;Lipetsk;177727722820
JOHNNY;TURPIN;1152;"Citrus Heights Manor";01.04.1980;5239;al-Qadarif;765957414528
ANDY;VANHORN;966;"Asuncin Way";01.04.1980;62703;"Huejutla de Reyes";995527378381
CHRISTY;VARGAS;1158;"Mandi Bahauddin Parkway";01.04.1980;98484;Datong;276555730211
BENJAMIN;VARNEY;817;"Laredo Avenue";01.04.1980;77449;Guadalajara;151249681135
TERRI;VASQUEZ;1304;"s-Hertogenbosch Way";01.04.1980;10925;Blumenau;90336226227
JULIAN;VEST;923;"Tangail Boulevard";01.04.1980;33384;Akishima;315528269898
CECIL;VINES;548;"Uruapan Street";01.04.1980;35653;London;879347453467
ROBERTO;VU;1297;"Alvorada Parkway";01.04.1980;11839;Yinchuan;508348602835
MARGIE;WADE;1762;"Paarl Parkway";01.04.1980;53928;Lengshuijiang;192459639410
FRANK;WAGGONER;1816;"Bydgoszcz Loop";01.04.1980;64308;Jamalpur;965273813662
DOLORES;WAGNER;316;"Uruapan Street";01.04.1980;58194;Ipoh;275788967899
HUGH;WALDROP;904;"Clarksville Drive";01.04.1980;52234;Haining;955349440539
DEBORAH;WALKER;934;"San Felipe de Puerto Plata Street";01.04.1980;99780;Shikarpur;196495945706
CONNIE;WALLACE;1867;"San Juan Bautista Tuxtepec Avenue";01.04.1980;78311;Ivanovo;547003310357
CASSANDRA;WALTERS;920;"Kumbakonam Loop";01.04.1980;75090;Salinas;685010736240
JANICE;WARD;1150;"Kimchon Manor";01.04.1980;96109;Malm;663449333709
HAZEL;WARREN;1587;"Sullana Lane";01.04.1980;85769;Hohhot;468060467018
RUBY;WASHINGTON;1952;"Chatsworth Drive";01.04.1980;25958;Meixian;991562402283
YVONNE;WATKINS;1848;"Salala Boulevard";01.04.1980;25220;"Ocumare del Tuy";48265851133
THERESA;WATSON;89;"Allappuzha (Alleppey) Manor";01.04.1980;75444;Taguig;255800440636
SHELLY;WATTS;32;"Pudukkottai Lane";01.04.1980;38834;Dayton;967274728547
JAMIE;WAUGH;958;"Sagamihara Lane";01.04.1980;88408;Kuwana;427274926505
MIKE;WAY;990;"Etawah Loop";01.04.1980;79940;Valparai;206169448769
YOLANDA;WEAVER;605;"Rio Claro Parkway";01.04.1980;49348;Tabora;352469351088
ETHEL;WEBB;569;"Baicheng Lane";01.04.1980;60304;Boksburg;490211944645
RONALD;WEINER;1145;"Vilnius Manor";01.04.1980;73170;"San Felipe del Progreso";674805712553
MARLENE;WELCH;1148;"Saarbrcken Parkway";01.04.1980;1921;Iwaki;137773001988
SHEILA;WELLS;848;"Tafuna Manor";01.04.1980;45142;Ktahya;614935229095
EDNA;WEST;682;"Junan Way";01.04.1980;30418;Klerksdorp;622255216127
MITCHELL;WESTMORELAND;617;"Klerksdorp Place";01.04.1980;94707;"Nha Trang";574973479129
FRED;WHEAT;433;"Florencia Street";01.04.1980;91330;Jurez;561729882725
LUCY;WHEELER;624;"Oshawa Boulevard";01.04.1980;89959;Balurghat;49677664184
BETTY;WHITE;770;"Bydgoszcz Avenue";01.04.1980;16266;"Citrus Heights";517338314235
ROY;WHITING;1658;"Jastrzebie-Zdrj Loop";01.04.1980;96584;Nyeri;568367775448
JON;WILES;659;"Gatineau Boulevard";01.04.1980;28587;"El Alto";205524798287
LINDA;WILLIAMS;692;"Joliet Street";01.04.1980;83579;Athenai;448477190408
GINA;WILLIAMSON;1001;"Miyakonojo Lane";01.04.1980;67924;Taizz;584316724815
BERNICE;WILLIS;29;"Pyongyang Loop";01.04.1980;47753;Batman;734780743462
SUSAN;WILSON;478;"Joliet Way";01.04.1980;77948;Hamilton;657282285970
DARREN;WINDHAM;379;"Lublin Parkway";01.04.1980;74568;Livorno;921960450089
VIRGIL;WOFFORD;760;"Miyakonojo Drive";01.04.1980;64682;"Jos Azueta";294449058179
LORI;WOOD;936;"Salzburg Lane";01.04.1980;96709;"Rae Bareli";875756771675
FLORENCE;WOODS;1532;"Dzerzinsk Way";01.04.1980;9599;Merlo;330838016880
TYLER;WREN;1060;"Tandil Lane";01.04.1980;72349;Rizhao;211256301880
BRENDA;WRIGHT;33;"Gorontalo Way";01.04.1980;30348;Kamarhati;745994947458
BRIAN;WYMAN;1769;"Iwaki Lane";01.04.1980;25787;Bydgoszcz;556100547674
LUIS;YANEZ;1346;"Mysore Drive";01.04.1980;61507;Brest;516647474029
